Nr. ;Name;Address;Postal code;City;Lat;Long
0;EMTE HEADQUARTERS VEGHEL;CORRIDOR 11;5466RB;VEGHEL;51,607;5,52805
1;EMTE ARKEL;DR H DE VRIESPLN 14;4241BW;ARKEL;51,864;4,99304
2;EMTE ARNEMUIDEN FR;CLASINASTR 5;4341ER;ARNEMUIDEN;51,50001;3,67728
3;EMTE BATHMEN FR;LARENSEWG 18;7437BM;BATHMEN;52,24906;6,28999
4;EMTE BEEK EN DONK;HEUVELPLN 73;5741JJ;BEEK EN DONK;51,5293;5,6323
5;EMTE BERLICUM;MERCURIUSPLN 30;5258AX;BERLICUM NB;51,67952;5,39886
6;EMTE BEUSICHEM FR;MARKT 20;4112JS;BEUSICHEM;51,94899;5,29276
7;EMTE BORCULO;LICHTENHORST 7;7271AE;BORCULO;52,11763;6,52536
8;EMTE BOXMEER;BURG VERKUYLSTR 11;5831EH;BOXMEER;51,64601;5,94985
9;EMTE BRAKEL FR;MOLENKAMPSWG 3;5306VN;BRAKEL;51,81023;5,10761
10;EMTE BREDA MOERWIJK;MOERWYK 23;4826HN;BREDA;51,60853;4,79059
11;EMTE BREDA HEKSENWAAG;HEKSENWAAG 37;4823JT;BREDA;51,6229;4,74434
12;EMTE CROMVOIRT;ST LAMBERTUSSTR 55;5266AD;CROMVOIRT;51,66052;5,23157
13;EMTE CULEMBORG;VIANENSESTR 3;4101XA;CULEMBORG;51,95283;5,22259
14;EMTE CUIJK;MAASBURG 24;5431BR;CUYK;51,72951;5,88003
15;EMTE DENEKAMP;L VOOR 10;7591GE;DENEKAMP;52,37429;7,00273
16;EMTE DIEREN;DIDERNA 44;6951CW;DIEREN;52,05133;6,10018
17;EMTE DIESSEN FR;JULIANASTR 42;5087BB;DIESSEN;51,47868;5,17801
18;EMTE Dongen;Looiersplein 25;5104GN;DONGEN;51,625651;4,942291
19;EMTE DORDRECHT KRISPIJNSEWEG;KRISPYNSEWG 68;3314KL;DORDRECHT;51,80111;4,66547
20;EMTE DRUNEN;AALBERSESTR 5;5151EE;DRUNEN;51,68525;5,13236
21;EMTE ECHT;ZUIDERPOORT 31;6101KA;ECHT;51,10457;5,86231
22;EMTE EDE GLD DE SPINDOP;HG MAANEN 45;6717HZ;EDE GLD;52,02817;5,66609
23;EMTE EDE STADSPOORT;STADSPOORT 45;6716RH;EDE GLD;52,01707;5,64883
24;EMTE EDERVEEN FR;SCHRAS 9;6744WT;EDERVEEN;52,06017;5,57481
25;EMTE EINDHOVEN ARDECHELAAN;ARDECHELN 5;5627EM;EINDHOVEN;51,48852;5,44129
26;EMTE Eindhoven victoriapark;Victoriapark 90;5611BM;EINDHOVEN;51,440386;5,472727
27;EMTE EMMEN FR;MIDDENHAAG 7;7815LB;EMMEN;52,79828;6,89505
28;EMTE AKKERSTRAAT ENSCHEDE;AKKERSTR 1;7545GW;ENSCHEDE;52,21129;6,86449
29;EMTE ENSCHEDE BOTHOFSTR;LG BOTHOFSTR 161;7533AS;ENSCHEDE;52,22422;6,91576
30;EMTE ENSCHEDE DOTTERBLOEMSTR;DOTTERBLOEMSTR 10;7531TC;ENSCHEDE;52,2283;6,9155
31;EMTE ENSCHEDE KUIPERSDIJK;KUIPERSDK 118;7512CL;ENSCHEDE;52,2102;6,89479
32;EMTE ENSCHEDE OOSTERVELD;HET OOSTERVELD 10;7544EL;ENSCHEDE;52,18964;6,87084
33;EMTE ENSCHEDE WIJNOLTSSTRAAT;J WYNOLTSSTR 125;7521SR;ENSCHEDE;52,2254;6,86296
34;EMTE ENTER FR;DORPSSTR 51;7468CD;ENTER;52,29791;6,57785
35;EMTE GILZE;RAADHUISSTR 26 28;5126CJ;GILZE;51,54178;4,94274
36;EMTE GOIRLE;DE HOVEL 16;5051NP;GOIRLE;51,52099;5,06853
37;EMTE GOOR;DA COSTASTR 15;7471ZM;GOOR;52,24059;6,56955
38;EMTE GROENLO;DEN KOEM 2;7141VW;GROENLO;52,04356;6,60732
39;EMTE GROOT AMMERS;MARGRIETSTR 1;2964CE;GROOT AMMERS;51,92401;4,82106
40;EMTE HAAKSBERGEN JHR V HEIJDEN;JHR V HEYDENSTR 21;7481EC;HAAKSBERGEN;52,15412;6,74439
41;EMTE HAAKSBERGEN F BOLSTRAAT;F BOLSTR 11;7482EB;HAAKSBERGEN;52,16017;6,72957
42;EMTE HAAREN;DRIEHOEVEN 56;5076BJ;HAAREN;51,59999;5,22667
43;EMTE HARMELEN FR;DORPSSTR 152;3481ER;HARMELEN;52,09036;4,95697
44;EMTE HASSELT FR;HET AMBT 7;8061AM;HASSELT;52,59406;6,10231
45;EMTE HEINKENSZAND;STENEVATE 2;4451KB;HEINKENSZAND;51,47225;3,81982
46;EMTE HELMOND 2E HAAGSTRAAT;2E HAAGSTR 42;5707VK;HELMOND;51,47582;5,64498
47;EMTE HELMOND WEDERHOF;WEDERHOF 14;5709CD;HELMOND;51,47594;5,70638
48;EMTE HENGELO P STEENB;P STEENBERGENSTR 5;7558MV;HENGELO OV;52,28646;6,83925
49;EMTE HENGELO WOOLDERESWEG;WOOLDERESWG 149;7555LL;HENGELO OV;52,27036;6,7734
50;EMTE HENGELO MOZARTLAAN;MOZARTLN 1;7557DK;HENGELO OV;52,2686;6,81268
51;EMTE HENGELO OUDE MOLENWEG;OUDE MOLENWG 40;7551HC;HENGELO OV;52,26595;6,80136
52;EMTE HOEK FR;LANGESTR 2;4542AE;HOEK;51,30876;3,77834
53;EMTE HOORNAAR FR;DIRK 4 PLN 8;4223NJ;HOORNAAR;51,87883;4,94782
54;EMTE HULST;STATIONSPLN 22H;4561GC;HULST;51,2767;4,04893
55;EMTE KAATSHEUVEL;POOLSESTR 5 7;5171DP;KAATSHEUVEL;51,66288;5,03341
56;EMTE KAPELLE FR;WESTSTR 2;4421AC;KAPELLE;51,48599;3,95569
57;EMTE KLOOSTERZANDE FR;MARYKEPLN 9;4587BH;KLOOSTERZANDE;51,36838;4,01618
58;EMTE KOOTWIJKERBROEK FR;WESSELSEWG 166;3774RM;KOOTWYKERBROEK;52,15133;5,65957
59;EMTE KOUDEKERKE FR;BADHUISSTR 6;4371EL;KOUDEKERKE;51,48315;3,55498
60;EMTE KRIMPEN AD IJSSEL;RAADHUISPLN 116;2922AK;KRIMPEN AD YSSEL;51,91435;4,58694
61;EMTE KRUININGEN FR;VOORHOUTE 1;4416BS;KRUININGEN;51,44669;4,03603
62;EMTE LEERDAM;WESTWAL 14;4141AP;LEERDAM;51,89158;5,09035
63;EMTE LOBITH;MIDDENSTR 2;6915AN;LOBITH;51,86149;6,11955
64;EMTE LOON OP ZAND;ORANJEPLN 47;5175BX;LOON OP ZAND;51,62794;5,07463
65;EMTE LOSSER;LANGENKAMP 5;7581JE;LOSSER;52,26059;7,00802
66;EMTE MAGISTRAAT MIDDELBURG;V REIGERSBERGSTR 11 13;4336XA;MIDDELBURG;51,48601;3,61798
67;EMTE MIDDELBURG DAUWENDAELE;VRYLANDSTR 51;4337EB;MIDDELBURG;51,49199;3,62166
68;EMTE MONTFOORT;JULIANALN 2;3417GK;MONTFOORT;52,04342;4,94392
69;EMTE Montfort FR;Kampweg 4;6065CC;Montfort;51,126962;5,948221
70;EMTE NEDERWEERT;BURG HOBUSSTR 39;6031VA;NEDERWEERT;51,28447;5,74738
71;EMTE NEEDE;ZWALUWSTR 11;7161GX;NEEDE;52,13362;6,61068
72;EMTE NIEUWEGEIN;WINKELC GALECOP 7 13;3437JV;NIEUWEGEIN;52,05371;5,08234
73;EMTE NUNSPEET FR;NYVERHEIDSWG 3;8071DB;NUNSPEET;52,3719;5,78009
74;EMTE NIJMEGEN;HATERTSEWG 835;6535ZT;NYMEGEN;51,80801;5,8236
75;EMTE NIJVERDAL PORTLANDWEG;PORTLANDWG 9;7442VB;NYVERDAL;52,35556;6,475
76;EMTE OISTERWIJK PANNENSCHUURPL;PANNENSCHUURPLN 32-40;5061WP;OISTERWYK;51,58289;5,17628
77;EMTE OISTERWIJK FABRIEKSPAD;FABRIEKSPAD 1;5061EW;OISTERWYK;51,58056;5,19151
78;EMTE OLDEBROEK FR;ZUIDERZEESTRWG 133D;8096BE;OLDEBROEK;52,44675;5,89681
79;EMTE OLDENZAAL KLOOSTER;KLOOSTERLAND 2;7577DP;OLDENZAAL;52,3236;6,92541
80;EMTE OOLTGENSPLAAT FR;WEESPAD 33;3257KJ;OOLTGENSPLAAT;51,68217;4,34769
81;EMTE OOSTERHOUT NB;MARKKANT 10;4906KD;OOSTERHOUT NB;51,64715;4,83137
82;EMTE OOSTKAPELLE FR;DORPSSTR 20;4356AJ;OOSTKAPELLE;51,56518;3,55123
83;EMTE OOSTVOORNE;RAKKERWG 15;3233CX;OOSTVOORNE;51,91357;4,10201
84;EMTE OSS;KARD DE JONGSTR 38;5348BH;OSS;51,77216;5,53688
85;EMTE OSS HESCHEPAD;HESCHEPAD 49 51;5341GS;OSS;51,76675;5,52389
86;EMTE OSSENDRECHT FR;HONDSEIND 14;4641HN;OSSENDRECHT;51,39551;4,32837
87;EMTE OUDENBOSCH;JULIANALN 1;4731JM;OUDENBOSCH;51,59067;4,52863
88;EMTE OUDEWATER FR;JOOSTENPLN 35;3421TC;OUDEWATER;52,02508;4,86706
89;EMTE PUTTE (NB);ANTWERPSESTR 79;4645BC;PUTTE;51,35851;4,39359
90;EMTE PUTTEN (GLD);POSTWG 4;3881EC;PUTTEN;52,26079;5,61516
91;EMTE RAVENSTEIN;KEURVORSTENPLN 12;5371CM;RAVENSTEIN;51,79358;5,65049
92;EMTE RENSWOUDE FR;DORPSPLN 14;3927WC;RENSWOUDE;52,07109;5,53794
93;EMTE REUSEL;SCHOOLSTR 19;5541EE;REUSEL;51,36289;5,15926
94;EMTE RIJEN WILHELMINAPLEIN;WILHELMINAPLN 20;5121ES;RYEN;51,58784;4,91964
95;EMTE RIJSSEN VEENESLAGEN;LN O INDIEGANGERS 5;7463CH;RYSSEN;52,30893;6,49126
96;EMTE RIJSSEN OPSTALLSTR;H J V OPSTALLSTR 16 24;7462DM;RYSSEN;52,30285;6,52001
97;EMTE S GRAVENMOER;MOLENDK 1B;5109RL;S GRAVENMOER;51,65837;4,94313
98;EMTE S GRAVENPOLDER FR;KLIMOPPLN 2;4431EJ;S GRAVENPOLDER;51,45979;3,90629
99;EMTE DEN BOSCH;HOFVYVER 2;5223MC;S HERTOGENBOSCH;51,68747;5,29025
100;EMTE SCHAIJK;SCHUTSBOOMSTR 3;5374CA;SCHAYK;51,74448;5,63313
101;EMTE SEROOSKERKE FR;HERDERSHOF 45;4353EZ;SEROOSKERKE WALCH;51,54822;3,59263
102;EMTE SLUIS;ST ANNASTR 41;4524JB;SLUIS;51,30996;3,3805
103;EMTE BREUGEL;V GENTLN 8;5694SC;SON EN BREUGEL;51,51897;5,512
104;EMTE SPRANG-CAPELLE;VD DUINSTR 115;5161BN;SPRANG CAPELLE;51,66871;5,03412
105;EMTE ST ANTHONIS;MOLENSTR 1;5845BD;ST ANTHONIS;51,62654;5,87575
106;EMTE ST MICHIELSGESTEL;P DONDERSPLN 20;5271AA;ST MICHIELSGESTEL;51,63804;5,35052
107;EMTE ST OEDENRODE;HTG HENDRIKSTR 1;5492BA;ST OEDENRODE;51,56142;5,46126
108;EMTE ST WILLEBRORD;KIEVITSTR 17;4711KH;ST WILLEBRORD;51,54562;4,59061
109;EMTE STOLWIJK FR;GOUDSEWG 22;2821BG;STOLWYK;51,9737;4,76924
110;EMTE TIEL NW TIELSEWEG;NW TIELSEWG 157;4006BG;TIEL;51,8789;5,41591
111;EMTE TIEL LN V WESTROYEN;LN V WESTROYEN 61;4003AX;TIEL;51,89685;5,42779
112;EMTE TILBURG BESTERDRING;BESTERDRING 29;5014HG;TILBURG;51,5669;5,08868
113;EMTE TILBURG WAGNERPLEIN;WAGNERPLN 18;5011LP;TILBURG;51,58423;5,0852
114;EMTE TILBURG WESTERMARKT;WESTERMARKT 38;5042MD;TILBURG;51,5687;5,05227
115;EMTE UDEN;LOSPLAATS 2;5404NJ;UDEN;51,65548;5,6239
116;EMTE UDENHOUT;KREITENMOLENSTR 149;5071BC;UDENHOUT;51,60854;5,15039
117;EMTE VALKENSWAARD LEENDERWG;LEENDERWG 120;5555CG;VALKENSWAARD;51,35234;5,47271
118;EMTE WAALRESEWG VALKENSWAARD;NW WAALRESEWG 93;5552EE;VALKENSWAARD;51,3603;5,44744
119;EMTE VEEN FR;GROENEWG 1;4264RN;VEEN;51,7739;5,10332
120;EMTE VEGHEL;STATIONSSTR 11;5461JS;VEGHEL;51,61991;5,54547
121;EMTE VELDHOVEN;BURG V HOOFFLN 12;5503BN;VELDHOVEN;51,41216;5,40946
122;EMTE VENRAY;DE BLEEK 30;5801MD;VENRAY;51,52635;5,97351
123;EMTE VESSEM FR;KUILENHURK 1;5512CA;VESSEM;51,42251;5,29155
124;EMTE VLISSINGEN FR;V HOGENDORPWG 93;4384HD;VLISSINGEN;51,46266;3,55175
125;EMTE VLIJMEN;PLEIN 11;5251AS;VLYMEN;51,69557;5,21881
126;EMTE VRIES FR;OUDE ASSERSTR 2;9481BL;VRIES;53,07522;6,57619
127;EMTE VRIEZENVEEN;WESTEINDE 20;7671CC;VRIEZENVEEN;52,41297;6,62718
128;EMTE VUGHT;MOLENEINDPLN 109;5262CM;VUGHT;51,64528;5,28342
129;EMTE WAALWYK;GROTESTR 358;5142CD;WAALWYK;51,6912;5,07509
130;EMTE WEKEROM FR;EDESEWG 118;6733AH;WEKEROM;52,11244;5,71685
131;EMTE WIJCHEN;HERENSTR 17;6602BA;WYCHEN;51,80995;5,7249
132;EMTE WIJK EN AALBURG;MARKT 67;4261DC;WYK EN AALBURG;51,75581;5,12938
133;EMTE ZOUTELANDE FR;WESTKAPELSEWG 10;4374BB;ZOUTELANDE;51,50262;3,47894
